sentence_id,sentence,type
1,Just the barest suggestion of a heel is found on teenage pumps,S
2,To the directors the problem appeared a matter of intrigue or diplomacy,S
3,There was little likelihood of any customers walking in at that hour,S
1,Pome oy ree holily shourn ne sleoming whimp ree rere os ofuke,N
2,Ot momp vo detlerence frot mogs elibonce polved ro op ummosite comblision,N
3,Chitments oy orls tror wendert coonglies courn momiconly ne soozed ar controgome,N
4,E wose ro speont ree intlossion oy o combouse fums oy chigshen,N
5,Kake wews baps ose recossed ree lenchen wesen oy ree susser prodenotions,N
6,Hu wrelt doil et hus bep ar lonk ar hu courn kneol,N
4,He stopped pacing to stare at Hal with his pale blue eyes,S
5,A number of considerations suggest that this occurs early in the process,S
6,To compute your adjusted gross income you total all items of income,S
7,Trore os vo utrosion ro feol oniedy om distolves oniet blese doople,N
8,Omoilly trore onk hore fowbors ro tood sike plorring fron fisms intlossions,N
9,Ot wam o deloof ro sheft en hus mond ro tossmicol tropiens,N
7,His wife was in delicate health and nursing an infant with measles,S
8,He avoided showing any surprise or annoyance when no one answered him,S
9,Keith told Penny about his dream to return to India and Burma,S
10,Ree umly expoition ro plin os mertive boes frot habs bemime penorites,N
11,Ot wam loke o lonk slin ligs drark scrough o pist cibsle,N
12,E courn vot clive ro hy poms nom dod e wibs ro,N
10,The reporter nodded as he moved up beside him at the bar,S
11,In the starlight he could see the trees stripped of their leaves,S
12,The target chart quickly and briefly tells you which additives do what,S
13,Never again did he enter into the ritual of showing the apartment,S
14,Then Angelina turned and with an easy grace walked toward the kitchen,S
15,Many times since his death that memory had worried and troubled her,S
13,Eoks oy thote fockets wam oy creot vosue ro ots mightbel remetiers,N
14,E rurned ose wonched hom strile doil ree cistre oy ree foud,N
15,Hu wam pootying o bades oy mourlough bispouts fom ree tulsh uden,N
16,Kyoto is the ancient capital of Japan and still its cultural center,S
17,It is very much a matter of building the foundations of community,S
18,The images can easily be aligned with a high degree of accuracy,S
16,Nir glorks swubs poms ree choiner slere ree wro clirers dere shending,N
17,Snustions cade ro te tror ors siffs oniet hy wonde citicorphip oudetities,N
18,E introforne hy friest fandy ro peps ose de momp ourbolves corcoinoble,N
19,Lut ree umly lond e wam goving hom wam ree pune kile,N
20,Hu buckotes ro nir tror ree woor ose che slicked clionly outnode,N
21,Cy plin tice lolks nurgers oy ree orience hud leld ree hors,N
19,This happened in the middle of a drinking bout with another bum,S
20,Winston took the clothesbrush out of the closet and went to work,S
21,The roof blocks are in two layers and are not mortared together,S
22,I was held up a bit trying to make a left turn,S
23,He called the store owner and together they went into the stockroom,S
24,After that he was never known to run or even walk fast,S
22,Ree gisk kneened cy nir hubtond pith ove orl et hus baps,N
23,Mimp caints ree boms jums ar ree boncher slod inni ree bave,N
24,Shinnon ticed ot su frot quey ross en op mour auler pightfome,N
25,Part of the family should be sleeping while the rest is awake,S
26,It made no difference that most evidence points to an opposite conclusion,S
27,Shipments of arms from western countries could similarly be seized as contraband,S
25,Hu onvinted o stolt oy tocol esderts ose oy pory zoosous gemunteers,N
